,NCT Number,DrugBank ID,SMILES
822,NCT02644525,DB05478,CS(O)(=O)=O.NC1=C2N=CN(CCOC[P@@]3(=O)OCC[C@H](O3)C3=CC(Cl)=CC=C3)C2=NC=N1
823,NCT02644525,DB11552,CCOC(=O)C1=CC(N)=CC=C1
824,NCT03575598,DB15036,COCCNCC1=CC=C(N=C1)C1=CC2=C(S1)C(OC1=C(F)C=C(NC(=O)C3(CC3)C(=O)NC3=CC=C(F)C=C3)C=C1)=CC=N2
825,NCT01039948,DB00317,COC1=C(OCCCN2CCOCC2)C=C2C(NC3=CC(Cl)=C(F)C=C3)=NC=NC2=C1
826,NCT03291314,DB06626,CNC(=O)C1=C(SC2=CC=C3C(NN=C3\C=C\C3=CC=CC=N3)=C2)C=CC=C1
827,NCT01621204,DB06210,CC1=NN(C(=O)\C1=N/NC1=CC=CC(C2=CC=CC(=C2)C(O)=O)=C1O)C1=CC=C(C)C(C)=C1
828,NCT00158782,DB01259,CS(=O)(=O)CCNCC1=CC=C(O1)C1=CC2=C(C=C1)N=CN=C2NC1=CC(Cl)=C(OCC2=CC(F)=CC=C2)C=C1
829,NCT00370383,DB04996,N.[Cl-].[Cl-].[Pt+4].CC([O-])=O.CC([O-])=O.NC1CCCCC1
830,NCT00370383,DB00530,COCCOC1=CC2=C(C=C1OCCOC)C(NC1=CC(=CC=C1)C#C)=NC=N2
831,NCT04187456,DB00683,CC1=NC=C2CN=C(C3=CC=CC=C3F)C3=C(C=CC(Cl)=C3)N12
832,NCT04187456,DB12048,C[C@H](N1N=NC2=NC=C(N=C12)C1=CN(C)N=C1)C1=CN2C=CN=C2C=C1
833,NCT04121910,DB01167,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(OC[C@H]2CO[C@@](CN3C=NC=N3)(O2)C2=C(Cl)C=C(Cl)C=C2)C=C1
834,NCT04121910,DB12048,C[C@H](N1N=NC2=NC=C(N=C12)C1=CN(C)N=C1)C1=CN2C=CN=C2C=C1
835,NCT04247815,DB12120,COC1=CC(=C(C=C1C=C)C(=O)NC1=CC=C(C=C1)C(N)=N)C1=CC=C(N=C1C(O)=O)C(=O)NCC1CC1
836,NCT04247815,DB01563,OC(O)C(Cl)(Cl)Cl
837,NCT04247815,DB01495,OC(O)C(Cl)(Cl)Cl.OC(O)C(Cl)(Cl)Cl.CN1N(C(=O)C=C1C)C1=CC=CC=C1
838,NCT04247815,DB08924,CC(CC1=CC=CC=C1)\N=C\C(Cl)(Cl)Cl
839,NCT04247815,DB02650,[H]C(=O)C(Cl)(Cl)Cl
840,NCT04247815,DB13402,OC(O)C(Cl)(Cl)Cl.CC(=O)NCC(O)=O
841,NCT04247815,DB00553,COC1=C2OC(=O)C=CC2=CC2=C1OC=C2
842,NCT04247815,DB14514,[Mg++].CC(=O)CCC([O-])=O.CC(=O)CCC([O-])=O
843,NCT04247815,DB01534,CC(CC(C)(C)O)OC(O)C(Cl)(Cl)Cl
844,NCT04247815,DB01494,OC(O)C(Cl)(Cl)Cl.C[N+](C)(C)CC([O-])=O
845,NCT04247815,DB12216,COC1=C2C=CC(=O)OC2=CC2=C1C=CO2
846,NCT04247815,DB16620,CN(CC1=CN=C2N=C(N)NC(=O)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
847,NCT04247815,DB04571,CC1=CC2=CC3=C(OC(=O)C=C3C)C(C)=C2O1
848,NCT04247815,DB00563,CN(CC1=CN=C2N=C(N)N=C(N)C2=N1)C1=CC=C(C=C1)C(=O)N[C@@H](CCC(O)=O)C(O)=O
849,NCT00553358,DB12633,CSCO[C@H]1C[C@H]2OC[C@@]2(OC(C)=O)[C@H]2[C@H](OC(=O)C3=CC=CC=C3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)C4=CC=CC=C4)C4=CC=CC=C4)C(C)=C([C@@H](OC(C)=O)C(=O)[C@]12C)C3(C)C
850,NCT00553358,DB01248,[H][C@@]1(C[C@@]2(O)[C@@H](OC(=O)C3=CC=CC=C3)[C@]3([H])[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](O)C(=C1C)C2(C)C)OC(C)=O)OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C1=CC=CC=C1
